Company,Location,JobUrl,Job title
Capgemini,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=281e1cf10be64a01&fccid=105ecfd0283f415f&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=645627619ad9a99c&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Link Group,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7a56bb8ec4347434&fccid=7ab5f4f72fdce966&vjs=3,Data Analyst
Pcura Consulting,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=9d321310076448d4&fccid=c3ce65a212ba6df9&vjs=3,Data Analyst
PCDS Infotech,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=a7f401e82b6ad0a6&fccid=56e092f7d2357a35&vjs=3,Data Analyst
HRhelpdesk,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=40d6415c6beb0bd9&fccid=6edaa483dac9b734&vjs=3,Data Analyst
Prabhudas Lilladher,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=f31708544999c1bc&fccid=f5f981785289e156&vjs=3,Data Analyst
Convergence IT Services,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=1f952241e5d43d74&fccid=333bc4b3c68195dd&vjs=3,Data Analyst
M&G plc,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2fc5a60c34b74034&fccid=046c9007b371673e&vjs=3,Data Analyst
BePlaced,"Malad, Mumbai, Maharashtra",https://in.indeed.com/company/BePlaced/jobs/Mis-Analyst-d8d8d1b27c7598b9?fccid=1afc887cd35a0f30&vjs=3,Data Analyst
Trafigura,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=0c828ea4508d3048&fccid=2e75f29e0007f5a0&vjs=3,Data Analyst
Zen & Art,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=3e14a3a8516cd475&fccid=ca1483627ef5e59c&vjs=3,Data Analyst
Neosoft Technologies,"Mumbai, Maharashtra",https://in.indeed.com/company/N%C3%A9osoft-technologies-inc./jobs/Business-Analyst-f5d8ce5ce775443a?fccid=20361bd10d739168&vjs=3,Data Analyst
Russet Studio,"Mulund, Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=4a789f6be0fe3cbb&fccid=81deaefb5bc8f4e5&vjs=3,Data Analyst
Black & Veatch,"Vikhroli, Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=aaa6d86020bdcaa6&fccid=3c6c62c1f9964388&vjs=3,Data Analyst
Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=94c54242b5856373&fccid=30584d7fcc702043&vjs=3,Data Analyst
Maersk,"Navi Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=2c57a3901f2344c1&fccid=14e7391c55beeb80&vjs=3,Data Analyst
Fedbank Financial Services Limited,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=fb29c5a11d24432c&fccid=b79ad6f5645e2eb8&vjs=3,Data Analyst
PMS Consulting,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=9d396119cf259461&fccid=5c345d43939a2216&vjs=3,Data Analyst
LogisticsNow,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dc31ef4dfe5cc3a1&fccid=531af5efc7c07cf1&vjs=3,Data Analyst
NEWJ,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=0701a0c0bb72ee7b&fccid=c15bdcceb5ed3780&vjs=3,Data Analyst
"Owens Asia, Inc..","Thane, Maharashtra","https://in.indeed.com/company/Owens-Asia,-Inc../jobs/Data-Analyst-a73637cc8926fcde?fccid=b7d8ae54bc31eb1c&vjs=3",Data Analyst
Morgan Stanley,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=75d4fac939f754dd&fccid=0c39fb2c91742dcf&vjs=3,Data Analyst
UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=028d207456db1dbf&fccid=1c76c3a36f6c7557&vjs=3,Data Analyst
Equity Data Science,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=298ce5b3d3b153cb&fccid=d51af6af938fd338&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=3e811a2ec49a843e&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Scikey,"Remote in Mumbai, Maharashtra",https://in.indeed.com/company/SCIKEY/jobs/Data-Visualization-Specialist-2b63f70f6b911986?fccid=7ad36117cddb7438&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=aacc3eb73cf97e70&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Citi,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=a5aea0136332c892&fccid=5bcd1ef0a7f4fb99&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=5a7292cf07c63d12&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Visible Alpha,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=b2299a989810c8ae&fccid=aa8c74044d03a5c2&vjs=3,Data Analyst
Capgemini,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=e1d6bd6d88b61b13&fccid=105ecfd0283f415f&vjs=3,Data Analyst
Barclays,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=794f6a1abbe55efc&fccid=057abf3fd357e717&vjs=3,Data Analyst
EvolutionCo Digital & Interactive Consultancy Pvt....,"Mumbai, Maharashtra",https://in.indeed.com/company/EvolutionCo-Digital-&-Interactive-Consultancy-Pvt.-Ltd/jobs/Social-Media-Analyst-1f5fe93a1df1c595?fccid=0fa19e8ff399c691&vjs=3,Data Analyst
Brandbase Capsule Pvt Ltd,"Mumbai, Maharashtra",https://in.indeed.com/company/BRANDBASE-CAPSULE-PVT-LTD/jobs/Marketing-Data-Analyst-22f1caae2f2c9fa5?fccid=d0d13faec142cd1a&vjs=3,Data Analyst
Citi,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=c8dfa287893cf619&fccid=5bcd1ef0a7f4fb99&vjs=3,Data Analyst
Eclerx,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=ea28ec5cd2e15e46&fccid=e6a2604cd4491b02&vjs=3,Data Analyst
UBS,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=e931d766d1daff2e&fccid=1c76c3a36f6c7557&vjs=3,Data Analyst
Response Informatics,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=5a8a458c28ad3241&fccid=93247fd5fba76538&vjs=3,Data Analyst
ION,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=8534800684b33df8&fccid=363d27976f5fa667&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=e469379e5ca0f05c&fccid=aaf3b433897ea465&vjs=3,Data Analyst
TELUS International,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=b105a4139316b49e&fccid=1a93caa31afcad42&vjs=3,Data Analyst
Khel Group Pvt Ltd,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=dbac0582d37a1368&fccid=858550bab8b4eae4&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=b46d14fca8ab5851&fccid=aaf3b433897ea465&vjs=3,Data Analyst
TTEC,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=1e723f13433c7147&fccid=4be57509a4916871&vjs=3,Data Analyst
Citi,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=cb0b686b5cc94623&fccid=5bcd1ef0a7f4fb99&vjs=3,Data Analyst
FedEx Express MEISA,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=994d96075b086178&fccid=5c439b65a0bd045b&vjs=3,Data Analyst
WebMD,"Navi Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=1397dc5fee07887c&fccid=2f7cb114b730b276&vjs=3,Data Analyst
Bloom Energy,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=8c76e5cd61819796&fccid=04ef0d72e1a71432&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=fd2094dd05199f19&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Deutsche Bank,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=75f89afe7e080f54&fccid=f1d8e147024abb3f&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=6d9c77e086bd791d&fccid=aaf3b433897ea465&vjs=3,Data Analyst
Incipientinfo,"Mumbai, Maharashtra",https://in.indeed.com/company/Incipientinfo/jobs/IT-Business-Analyst-372b313f9769f067?fccid=791748ae5c08579e&vjs=3,Data Analyst
Morpheus Human Consulting,"Mumbai, Maharashtra",https://in.indeed.com/company/Morpheus-Human-Consulting/jobs/Data-Analyst-c1e5ab4638909332?fccid=b11361d0457f795a&vjs=3,Data Analyst
Tax Genie,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=33c7b592e90f5078&fccid=bdcf25e6e877ce61&vjs=3,Data Analyst
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=b4236b17a6434404&fccid=aaf3b433897ea465&vjs=3,Data Analyst
FedEx Express MEISA,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7883cf3f80bc3abc&fccid=5c439b65a0bd045b&vjs=3,Data Analyst
